He Wenna,China,2008,Trampoline,1,0,0,1
Lu Chunlong,China,2008,Trampoline,1,0,0,1
Jade Jones,Great Britain,2012,Taekwondo,1,0,0,1
Oscar Muñoz,Colombia,2012,Taekwondo,0,0,1,1
Nur Tatar,Turkey,2012,Taekwondo,0,1,0,1
Servet Tazegül,Turkey,2008,Taekwondo,0,0,1,1
Martina Zubcic,Croatia,2008,Taekwondo,0,0,1,1
Yaowapa Boorapolchai,Thailand,2004,Taekwondo,0,0,1,1
Laia Pons,Spain,2012,Synchronized Swimming,0,0,1,1
Stephanie Nesbitt,United States,2004,Synchronized Swimming,0,0,1,1
Tang Yi,China,2012,Swimming,0,0,1,1
Nathan Adrian,United States,2008,Swimming,1,0,0,1
Bronte Barratt,Australia,2008,Swimming,1,0,0,1
Elaine Breeden,United States,2008,Swimming,0,1,0,1
Ryan Cochrane,Canada,2008,Swimming,0,0,1,1
Lara Ilchenko,Russia,2008,Swimming,1,0,0,1
Liu Zige,China,2008,Swimming,1,0,0,1
Nikita Lobintsev,Russia,2008,Swimming,0,1,0,1
Mikhail Polishchuk,Russia,2008,Swimming,0,1,0,1
Sun Ye,China,2008,Swimming,0,0,1,1
Dave Davies,Great Britain,2004,Swimming,0,0,1,1
Helge Meeuw,Germany,2004,Swimming,0,1,0,1
Pang Jiaying,China,2004,Swimming,0,1,0,1
Nicholas Sprenger,Australia,2004,Swimming,0,1,0,1
Darian Townsend,South Africa,2004,Swimming,1,0,0,1
Yang Yu,China,2004,Swimming,0,1,0,1
Sara Harstick,Germany,2000,Swimming,0,0,1,1
Anna-Karin Kammerling,Sweden,2000,Swimming,0,0,1,1
Ágnes Kovács,Hungary,2000,Swimming,1,0,0,1
Erin Phenix,United States,2000,Swimming,1,0,0,1
Staciana Stitts,United States,2000,Swimming,1,0,0,1
Yasuko Tajima,Japan,2000,Swimming,0,1,0,1
Erik Vendt,United States,2000,Swimming,0,1,0,1
Tarnee White,Australia,2000,Swimming,0,1,0,1
Aly Dudek,United States,2010,Short-Track Speed Skating,0,0,1,1
Arianna Fontana,Italy,2010,Short-Track Speed Skating,0,0,1,1
Lana Gehring,United States,2010,Short-Track Speed Skating,0,0,1,1
Kim Seong-Il,South Korea,2010,Short-Track Speed Skating,0,1,0,1
Kalyna Roberge,Canada,2006,Short-Track Speed Skating,0,1,0,1
Choi Min-Kyung,South Korea,2002,Short-Track Speed Skating,1,0,0,1
Amélie Goulet-Nadon,Canada,2002,Short-Track Speed Skating,0,0,1,1
Brian Hansen,United States,2010,Speed Skating,0,1,0,1
Jonathan Kuck,United States,2010,Speed Skating,0,1,0,1
Naoko Sakamoto,Japan,2004,Softball,0,0,1,1
Hannah Teter,United States,2006,Snowboarding,1,0,0,1
Shaun White,United States,2006,Snowboarding,1,0,0,1
Danny Kass,United States,2002,Snowboarding,0,1,0,1
Kim Jang-Mi,South Korea,2012,Shooting,1,0,0,1
Vincent Hancock,United States,2008,Shooting,1,0,0,1
Lenka Hyková-Marušková,Czech Republic,2004,Shooting,0,1,0,1
Olena Kostevych,Ukraine,2004,Shooting,1,0,0,1
Zhu Qinan,China,2004,Shooting,1,0,0,1
Olivia Price,Australia,2012,Sailing,0,1,0,1
Zhang Yangyang,China,2008,Rowing,1,0,0,1
Darya Dmitriyeva,Russia,2012,Rhythmic Gymnastics,0,1,0,1
Ulyana Donskova,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Anastasiya Nazarenko,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Alesya Babushkina,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Zina Lunina,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Glafira Martinovich,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Sui Jianshuang,China,2008,Rhythmic Gymnastics,0,1,0,1
Nataliya Zuyeva,Russia,2008,Rhythmic Gymnastics,1,0,0,1
